,fold,loss
0,0,3.386398637558566
1,0,2.9747521246629627
2,0,3.2942067207029817
3,0,4.1467548772636915
4,0,4.202591681431107
5,1,3.2118706671748085
6,1,3.609060898620348
7,1,3.082838626080843
8,1,3.30216959043023
9,1,2.9502665833730193
10,2,2.7588735688877746
11,2,2.7152050843933964
12,2,3.0460624800489744
13,2,3.066427934236188
14,2,2.9958963359896367
15,3,2.5353751364458526
16,3,2.4552840484238714
17,3,2.637645666841636
18,3,2.70364254150426
19,3,2.614479204362616
20,4,2.445573739359425
21,4,2.3903583883832407
22,4,2.6183375181758746
23,4,2.388376877335378
24,4,2.4591175338367317
25,5,2.4075514382139747
26,5,2.3474005690763646
27,5,2.4446721408350944
28,5,2.3469821290701196
29,5,2.354465695293042
30,6,2.3481067707205363
31,6,2.3174932393648007
32,6,2.3655335527244263
33,6,2.324495855440418
34,6,2.3272657254873357
35,7,2.337348985467771
36,7,2.269798967523307
37,7,2.3315315371588894
38,7,2.302158999321804
39,7,2.2781526533873544
40,8,2.277022264875956
41,8,2.2242547458112876
42,8,2.295492599019978
43,8,2.281510328427197
44,8,2.2426636627170304
45,9,2.232628617711446
46,9,2.18781549825074
47,9,2.2724016738403425
48,9,2.248853335337303
49,9,2.2238448872039553
50,10,2.2071457817478337
51,10,2.1694631690747888
52,10,2.261051463659714
53,10,2.218405468307784
54,10,2.16942562206138
55,11,2.178744307231248
56,11,2.154649504113243
57,11,2.234846606654678
58,11,2.1882694358873427
59,11,2.154526649372611
60,12,2.1541652898958548
61,12,2.131920851025183
62,12,2.1930147246695433
63,12,2.184330841845716
64,12,2.1194924795081835
65,13,2.1214098688058773
66,13,2.0927804584710823
67,13,2.1727499895193625
68,13,2.1705947384967716
69,13,2.0796910831611433
70,14,2.0901652473409964
71,14,2.094802993709171
72,14,2.150517459871638
73,14,2.1340830605897074
74,14,2.062660185785613
75,15,2.073911759828088
76,15,2.0385301775342017
77,15,2.1036645134477303
78,15,2.109255406649188
79,15,2.016208769376161
80,16,2.069298934791207
81,16,2.0271791867214564
82,16,2.082200974449995
83,16,2.0882540242514014
84,16,1.9936597015916842
85,17,2.029076288741405
86,17,2.0243806976473637
87,17,2.0645137393740587
88,17,2.052691642752426
89,17,1.9736698460984798
90,18,2.0228535749297825
91,18,1.991894665915414
92,18,2.025413599210214
93,18,2.034727211665526
94,18,1.9412686334839468
95,19,2.0084639162678273
96,19,1.9455440236194463
97,19,1.9977236895710841
98,19,2.0064350299243103
99,19,1.9438825230688088
100,20,1.9689351630649559
101,20,1.905351757651867
102,20,1.9789965827968827
103,20,2.004911483506589
104,20,1.9038993165552816
105,21,1.9807658405331985
106,21,1.891819822858212
107,21,1.9410908992009577
108,21,1.9877870957881774
109,21,1.87680369113654
110,22,1.91820894905574
111,22,1.8759172869944691
112,22,1.9350006285771262
113,22,1.9774234493372824
114,22,1.8812199562177594
115,23,1.934067772299797
116,23,1.8312147502436829
117,23,1.919762410860333
118,23,1.9174589533045592
119,23,1.8295810489234507
120,24,1.88361206581741
121,24,1.8009160138246032
122,24,1.8685952216133201
123,24,1.897478890318474
124,24,1.8205588732427067
125,25,1.8732504855999936
126,25,1.7888027980216883
127,25,1.8682653320492897
128,25,1.9010322170947913
129,25,1.7758640215504982
130,26,1.8623060730738488
131,26,1.7703162250884101
132,26,1.883454546955402
133,26,1.8666250238282545
134,26,1.7766732786870822
135,27,1.8116962146976385
136,27,1.76637886516002
137,27,1.7982070837778388
138,27,1.8572641113125463
139,27,1.76296878806464
140,28,1.8058794534352631
141,28,1.7379437268853608
142,28,1.7969076689142445
143,28,1.7922830227559094
144,28,1.729427026090115
145,29,1.8292687050435923
146,29,1.6907278801358965
147,29,1.7450116337934836
148,29,1.8320120417595978
149,29,1.7167344882865174
150,30,1.7762366968374352
151,30,1.678088366126747
152,30,1.7425308430509856
153,30,1.7951018734367863
154,30,1.6665574631078741
155,31,1.754962724275434
156,31,1.6538847442674283
157,31,1.7246817965160366
158,31,1.8326431767772546
159,31,1.7138703716823263
160,32,1.7350003220300705
161,32,1.624211555461282
162,32,1.765004165423237
163,32,1.825148855830894
164,32,1.6845055237285218
165,33,1.766679229527684
166,33,1.6188474960576114
167,33,1.6911539206888486
168,33,1.7425107379314853
169,33,1.6545807019528957
170,34,1.6780406891966935
171,34,1.6230070320321242
172,34,1.65467729608731
173,34,1.7595366990925314
