,fold,loss
0,0,1.1238194294361397
1,0,1.1624176649469686
2,0,1.1533267922609207
3,0,1.1829258521986414
4,0,1.146252046441457
5,1,2.0063228677930196
6,1,1.7620479499220854
7,1,1.5486070306169282
8,1,1.620181436006172
9,1,1.490246556525044
10,2,1.2585136549762699
11,2,1.2396853416753277
12,2,1.3319977144727713
13,2,1.3341987349025435
14,2,1.4631768433606271
15,3,1.199194596131134
16,3,1.1637297693431756
17,3,1.1174281608925112
18,3,1.2426517519942992
19,3,1.1755069553102115
20,4,1.3801894571575744
21,4,1.2849478395190927
22,4,1.260725120638998
23,4,1.1570672992746833
24,4,1.1303680117286672
25,5,1.335437679755503
26,5,1.296198126665955
27,5,1.2317472228998543
28,5,1.1991765545598208
29,5,1.2396931844780086
30,6,1.2218566911681232
31,6,1.2262139935594152
32,6,1.15386809984812
33,6,1.2261305138170597
34,6,1.2289933475999835
35,7,1.135646169935345
36,7,1.1625572390279952
37,7,1.1361856319252726
38,7,1.191663930781804
39,7,1.1581830916329858
40,8,1.103384744098005
41,8,1.127779307142837
42,8,1.140353731538732
43,8,1.150282321073424
44,8,1.1127805282698953
45,9,1.110462308110794
46,9,1.1205489221040603
47,9,1.1392300320769204
48,9,1.1272881793260359
49,9,1.1036108714064068
50,10,1.1325427751488286
51,10,1.1311239594398037
52,10,1.1387643197826876
53,10,1.1239414162460282
54,10,1.1138017739515278
55,11,1.1496870310503577
56,11,1.14653689945931
57,11,1.142617375142444
58,11,1.1302829272033792
59,11,1.1247258427588607
60,12,1.1552129339698165
61,12,1.1561661383565898
62,12,1.1449510511026904
63,12,1.1374957639419405
64,12,1.127457844309957
65,13,1.1480613170491925
66,13,1.1559273462993704
67,13,1.1397692125954233
68,13,1.1427074184721686
69,13,1.1230437347936604
70,14,1.1328111802437792
71,14,1.1489020803345826
72,14,1.131400501722449
73,14,1.142708144822784
74,14,1.1135644954278965
75,15,1.1182277652358088
76,15,1.138359131922862
77,15,
78,15,1.1357693446973411
79,15,1.099086219076882
80,16,1.105109309751805
81,16,1.1282659410744311
82,16,
83,16,1.1266846710500709
84,16,1.08267858023824
85,17,1.0947574702376126
86,17,1.1224069636340523
87,17,
88,17,1.117362543889992
89,17,1.0654395708861575
90,18,1.0877892547738073
91,18,1.119103634569905
92,18,
93,18,1.1077327249335989
94,18,1.0448641761164876
95,19,1.0835456133155368
96,19,1.1198320988350636
97,19,
98,19,1.101041139792672
99,19,1.0240288321534337
100,20,1.0759112768337602
101,20,1.1218318911326748
102,20,
103,20,1.0937178876809894
104,20,0.9992259114980454
105,21,1.0663028354069026
106,21,1.122445131129289
107,21,
108,21,1.08371608326722
109,21,0.9668361239492722
110,22,1.0502851765812413
111,22,1.1229771295183983
112,22,
113,22,1.0756448236934506
114,22,0.930922220478725
115,23,1.0370007983094756
116,23,1.1197748172929887
117,23,
118,23,1.0596014151360027
119,23,0.8772199859473894
120,24,1.0069295190214476
121,24,1.1150190130627038
122,24,
123,24,1.036936269344656
124,24,0.818582651852472
125,25,0.9823884968552397
126,25,1.1092573199418412
127,25,
128,25,1.0178362206815756
129,25,0.7651521127582804
130,26,0.9405272873403289
131,26,1.1026310914835917
132,26,
133,26,0.9801004817676832
134,26,0.7327002875773005
135,27,0.9012565504403364
136,27,1.0957358732221578
137,27,
138,27,0.9444262923123913
139,27,0.7542580229447763
140,28,0.8616863375516506
141,28,1.0893164839299083
142,28,
143,28,0.9028390268430646
144,28,0.7044747772805552
145,29,0.822228210810915
146,29,1.0816915185735831
147,29,
148,29,0.8582860466608165
149,29,0.6698637463231144
150,30,0.7816506923168379
151,30,1.0735876120180203
152,30,
153,30,0.8269160762928519
154,30,0.6686853093721792
155,31,0.7598978937482718
156,31,1.0625193786300322
157,31,
158,31,0.8114952788677051
159,31,0.6777820164647904
160,32,0.7391128661538074
161,32,1.048963521780023
162,32,
163,32,0.8047344715497833
164,32,0.6700411202928661
165,33,0.7336924189085716
166,33,1.0308040206172893
167,33,
168,33,0.7683984505974857
169,33,0.6278938026474484
170,34,0.7409762399541597
171,34,1.0099106184958222
172,34,
173,34,0.7490061931962665
174,34,0.6540165199619236
175,35,0.7207458504046887
176,35,0.9887820517775029
177,35,
178,35,0.7648891621245197
179,35,0.651752806267682
180,36,0.7060836214373006
181,36,0.9728320283200047
182,36,
183,36,0.7379878935079127
184,36,0.6180214561058889
185,37,0.7135455112838385
186,37,0.9532625423305846
187,37,
188,37,0.7230794429499096
189,37,0.6270135668699646
190,38,0.7500576327936033
